Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Employee_30,5958,4430,5059,4558,5979,4246,4903,5593,5492,4364,4816,5445
Employee_31,5847,5833,5648,4169,4463,5491,4483,4961,4567,4901,4884,4021
Employee_32,4954,5903,4683,4817,5032,4382,5088,5427,5519,5326,5763,5740
Employee_33,4359,5053,4452,5348,4983,4089,5551,4208,5766,4818,5861,5544
Employee_34,5200,4574,4275,4466,5730,5691,4316,4759,4452,5689,4615,5608
Employee_35,5472,4992,4120,5377,5887,5253,5240,4086,5823,4378,5640,4076
Employee_36,5313,4549,5363,4375,4433,5370,5485,4017,5732,5585,5083,5723
Employee_37,4911,4928,4004,5369,4707,4316,5768,5990,4152,5969,4779,4110
Employee_38,4267,5731,5083,4778,4197,5065,4529,4639,5160,5420,5098,4064
Employee_39,5498,4301,4584,4754,5379,5465,5098,4564,5091,5554,4055,4798
Employee_40,4560,5573,4426,5562,5062,5905,5775,5807,4276,5442,4603,5483
Employee_41,4106,4649,5703,4541,4337,5369,4475,4864,4085,5540,4309,5968
Employee_42,5761,5160,4761,5102,4085,4140,4570,4224,5185,4488,5865,5726
Employee_43,5916,4887,5623,4358,4315,5496,5465,5545,5354,5099,4677,5577
Employee_44,4737,4979,4431,4022,4158,5059,5013,4850,4778,5885,4164,5646
Employee_45,4601,4198,4275,4884,5228,5877,4087,5404,5968,4637,4611,5260
Employee_46,4273,4664,4181,5549,4449,4536,4237,4221,4318,5789,4094,4943
Employee_47,5347,5091,5791,4915,4162,4526,5518,5470,4344,4891,5364,4813
Employee_48,5965,4398,5594,4820,4204,5968,5968,4017,4849,4244,5392,4392
Employee_49,5740,5065,5597,5290,5716,5308,5237,5705,5661,5673,4911,4525
Employee_50,4209,5097,5962,5291,5728,4998,5460,4642,4084,4580,4197,4092
Employee_51,5154,4381,4852,5957,5774,5796,4148,4806,5355,4474,5328,4908
Employee_52,4119,4026,5363,5633,4508,4079,4631,4680,5024,5433,5750,5096
Employee_53,5568,5639,5570,5288,4642,4893,5173,5086,4017,5276,4220,5269
Employee_54,5611,4487,4361,5101,4744,5431,4657,5283,4084,5717,4200,5368
Employee_55,5167,5255,5837,4784,4041,5118,5342,5754,5150,5015,4477,5170
Employee_56,5467,5593,4572,4247,5027,5064,4519,5658,4188,5834,5224,5224
Employee_57,4783,5919,4045,5962,5552,4678,4972,5119,5942,4977,4868,4274
Employee_58,5341,4669,5705,5028,4659,5601,5854,4493,5973,4058,5945,4985
Employee_59,4184,5750,5373,4471,5199,4764,4853,4326,5514,5098,4550,4274
Employee_60,4544,5437,5811,5511,4954,5834,4454,4530,5632,4433,5014,5827
Employee_61,4266,4754,4329,5100,5761,4306,5705,5403,5658,5996,4183,4995
Employee_62,5708,5041,5540,4046,5716,4569,5508,4362,5584,5863,5288,4471
Employee_63,5099,4668,5029,5456,5875,4185,5321,5146,4334,4006,4659,5112
Employee_64,4846,4826,4169,5835,5455,5550,5594,4105,5314,4020,5238,5635
Employee_65,4753,4099,4850,5100,5593,5347,5840,4321,5943,5001,5053,4063
Employee_66,4646,4948,4920,5678,4626,4051,4721,5494,5273,5887,5550,4550
Employee_67,5997,4100,4109,4360,4291,5643,5591,5163,5430,5326,4992,5371
Employee_68,5026,5835,4561,4619,4570,4128,5861,4183,5303,5208,4689,4797
Employee_69,5606,4407,5746,5326,5774,4472,4583,4744,5184,5633,4453,4762
Employee_70,5305,4163,4758,4332,4532,5640,5685,5358,4504,4937,4190,4134
Employee_71,5844,5481,4463,4853,5171,5716,4291,5278,4361,4771,5385,5118
Employee_72,5581,5377,4399,5814,4281,5702,4160,4553,5613,5111,4498,5886
Employee_73,5511,4563,5916,4901,4933,5636,5065,4068,5348,5690,5596,5925
Employee_74,4388,4541,5560,5310,4519,4759,4622,5056,5288,5335,4651,4449
Employee_75,4425,5179,4935,4906,4463,5283,5195,5963,5181,4194,4840,4907
Employee_76,5859,5874,5106,4408,4235,4471,5690,4662,4889,5903,4390,5460
Employee_77,5062,5808,4760,5528,5017,5538,5728,4843,4962,4120,5807,4335
Employee_78,4352,4337,5967,5453,4572,4311,5286,5270,5824,5253,4206,4916
Employee_79,5454,4427,5139,5531,5629,4468,4625,4429,4170,4890,4387,5477
Employee_80,4391,4651,5490,4862,5467,4579,5633,5148,5822,4803,5747,4939
Employee_81,5781,4708,4245,5577,5163,5789,5658,4700,4003,5450,5337,5490
Employee_82,4009,5234,4715,4152,4354,4532,5505,5146,4081,4691,4012,5803
Employee_83,4404,4676,5038,4788,5131,4930,5187,5397,4520,5830,5336,4194
Employee_84,4736,5406,5821,5892,5282,4557,5579,4036,4259,4739,4246,5593
Employee_85,5984,4729,5340,5398,5468,4632,4565,5914,4257,5232,4460,4374
Employee_86,5900,4120,5454,5167,5925,4894,5775,5468,4409,5935,4458,5148
Employee_87,4200,4364,5382,5290,4667,4286,5334,4524,5882,4911,5131,4992
Employee_88,4826,5658,4968,4984,4995,4524,4272,5520,4939,5740,4350,4826
Employee_89,4709,4515,4003,4764,5346,4197,5366,4005,4229,5428,5775,5131
Employee_90,4923,4881,4899,5709,5741,4097,5234,4641,5212,5923,5173,4403
Employee_91,4670,5663,5653,4534,4133,5857,5805,5765,5634,5756,5114,5737
Employee_92,4277,4410,4060,5675,4637,5566,4783,5792,4170,4655,5643,5465
Employee_93,5586,5851,5147,4786,5328,5567,5560,4608,5834,4446,5878,4332
Employee_94,4071,4207,5252,5696,4348,5111,5012,4171,5704,4681,5525,5689
Employee_95,4835,5731,5419,5543,4351,5181,4411,4173,5499,4544,4635,4598
Employee_96,4746,4820,5206,4201,4460,5622,5745,4835,4935,4665,5062,4145
Employee_97,4538,4584,5424,5635,4176,5270,5637,4230,5265,4473,5058,4034
Employee_98,4371,4655,5727,4948,4494,4340,5494,5313,5769,5460,4172,4973
Employee_99,4436,5846,4359,5820,4088,5857,5008,5473,5546,5940,5087,5008
Employee_100,4644,4064,5585,4454,4042,5111,5785,4643,5278,5989,4975,4396
